periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,España,Percentage. Below 60%. From 6 to 11 years. Females,26.8,Percentage
2025,2025,,España,Percentage. Below 60%. From 6 to 11 years. Males,29.5,Percentage
2025,2025,,España,Percentage. Below 60%. From 6 to 11 years. Total,28.1,Percentage
2025,2025,,España,Percentage. Below 60%. 65 years or over. Females,22.8,Percentage
2025,2025,,España,Percentage. Below 60%. 65 years or over. Males,23.8,Percentage
2025,2025,,España,Percentage. Below 60%. 65 years or over. Total,23.2,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 18 years. Females,28.2,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 18 years. Males,26.5,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 18 years. Total,27.4,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 6 years. Females,31.2,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 6 years. Males,26.5,Percentage
2025,2025,,España,Percentage. Below 60%. Less than 6 years. Total,28.7,Percentage
2025,2025,,España,Percentage. Total. Total. Females,7.5,Percentage
2025,2025,,España,Percentage. Total. Total. Males,6.8,Percentage
2025,2025,,España,Percentage. Total. Total. Total,7.2,Percentage
2025,2025,,España,Percentage. Total. From 12 to 17 years. Females,9.2,Percentage
2025,2025,,España,Percentage. Total. From 12 to 17 years. Males,7.4,Percentage
2025,2025,,España,Percentage. Total. From 12 to 17 years. Total,8.3,Percentage
2025,2025,,España,Percentage. Total. From 15 to 19 years. Females,8.1,Percentage
2025,2025,,España,Percentage. Total. From 15 to 19 years. Males,7.0,Percentage
2025,2025,,España,Percentage. Total. From 15 to 19 years. Total,7.5,Percentage
2025,2025,,España,Percentage. Total. From 15 to 24 years. Females,6.6,Percentage
2025,2025,,España,Percentage. Total. From 15 to 24 years. Males,6.2,Percentage
2025,2025,,España,Percentage. Total. From 15 to 24 years. Total,6.4,Percentage
2025,2025,,España,Percentage. Total. From 15 to 29 years. Females,7.7,Percentage
2025,2025,,España,Percentage. Total. From 15 to 29 years. Males,6.8,Percentage
2025,2025,,España,Percentage. Total. From 15 to 29 years. Total,7.2,Percentage
2025,2025,,España,Percentage. Total. From 16 to 19 years. Females,6.4,Percentage
2025,2025,,España,Percentage. Total. From 16 to 19 years. Males,7.3,Percentage
2025,2025,,España,Percentage. Total. From 16 to 19 years. Total,6.9,Percentage
2025,2025,,España,Percentage. Total. From 16 to 24 years. Females,5.7,Percentage
2025,2025,,España,Percentage. Total. From 16 to 24 years. Males,6.2,Percentage
2025,2025,,España,Percentage. Total. From 16 to 24 years. Total,6.0,Percentage
2025,2025,,España,Percentage. Total. From 16 to 29 years. Females,7.1,Percentage
2025,2025,,España,Percentage. Total. From 16 to 29 years. Males,6.9,Percentage
2025,2025,,España,Percentage. Total. From 16 to 29 years. Total,7.0,Percentage
2025,2025,,España,Percentage. Total. From 18 to 24 years. Females,5.2,Percentage
2025,2025,,España,Percentage. Total. From 18 to 24 years. Males,6.1,Percentage
2025,2025,,España,Percentage. Total. From 18 to 24 years. Total,5.7,Percentage
2025,2025,,España,Percentage. Total. From 18 to 64 years. Females,7.9,Percentage
2025,2025,,España,Percentage. Total. From 18 to 64 years. Males,7.2,Percentage
2025,2025,,España,Percentage. Total. From 18 to 64 years. Total,7.6,Percentage
2025,2025,,España,Percentage. Total. From 20 to 24 years. Females,5.1,Percentage
2025,2025,,España,Percentage. Total. From 20 to 24 years. Males,5.4,Percentage
2025,2025,,España,Percentage. Total. From 20 to 24 years. Total,5.2,Percentage
2025,2025,,España,Percentage. Total. From 20 to 29 years. Females,7.4,Percentage
2025,2025,,España,Percentage. Total. From 20 to 29 years. Males,6.7,Percentage
2025,2025,,España,Percentage. Total. From 20 to 29 years. Total,7.1,Percentage
2025,2025,,España,Percentage. Total. From 25 to 29 years. Females,9.8,Percentage
2025,2025,,España,Percentage. Total. From 25 to 29 years. Males,8.1,Percentage
2025,2025,,España,Percentage. Total. From 25 to 29 years. Total,8.9,Percentage
2025,2025,,España,Percentage. Total. From 6 to 11 years. Females,9.2,Percentage
2025,2025,,España,Percentage. Total. From 6 to 11 years. Males,8.8,Percentage
2025,2025,,España,Percentage. Total. From 6 to 11 years. Total,9.0,Percentage
2025,2025,,España,Percentage. Total. 65 years or over. Females,5.3,Percentage
2025,2025,,España,Percentage. Total. 65 years or over. Males,4.2,Percentage
2025,2025,,España,Percentage. Total. 65 years or over. Total,4.8,Percentage
2025,2025,,España,Percentage. Total. Less than 18 years. Females,9.2,Percentage
2025,2025,,España,Percentage. Total. Less than 18 years. Males,8.1,Percentage
2025,2025,,España,Percentage. Total. Less than 18 years. Total,8.6,Percentage
2025,2025,,España,Percentage. Total. Less than 6 years. Females,9.1,Percentage
2025,2025,,España,Percentage. Total. Less than 6 years. Males,8.3,Percentage
2025,2025,,España,Percentage. Total. Less than 6 years. Total,8.7,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. Total. Females,4.1,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. Total. Males,3.5,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. Total. Total,3.8,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Females,2.2,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Males,2.0,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Total,2.1,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Females,2.1,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Males,2.0,Percentage
2024,2024,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Total,2.0,Percentage
